Rank,"Name
Country/Region",No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
80,Erasmus University RotterdamNetherlands,"31,668",33.9,22%,53 : 47
81,University of Wisconsin-MadisonUnited States,"40,701",10,14%,n/a
82,Emory UniversityUnited States,"13,190",4.2,20%,60 : 40
82,"University of GlasgowUnited Kingdom
Explore","28,540",13.5,41%,59 : 41
82,University of ZurichSwitzerland,"25,003",13.7,22%,56 : 44
85,"McMaster UniversityCanada
Explore","26,403",29,20%,56 : 44
86,Humboldt University of BerlinGermany,"34,399",53.2,17%,n/a
86,University of TübingenGermany,"20,620",27.5,13%,59 : 41
88,"University of AdelaideAustralia
Explore","23,102",32.8,32%,49 : 51
89,University of BonnGermany,"27,210",47.5,17%,56 : 44
90,Sorbonne UniversityFrance,"41,443",13.9,21%,59 : 41
91,Free University of BerlinGermany,"26,497",41.9,23%,62 : 38
91,Korea Advanced Institute of Science and Technology (KAIST)South Korea,"9,946",10.7,9%,21 : 79
93,Université Paris-SaclayFrance,"44,443",14.9,19%,49 : 51
94,University of BernSwitzerland,"11,728",17.2,17%,58 : 42
95,"University of California, IrvineUnited States","36,655",16.9,28%,52 : 48
95,Institut Polytechnique de ParisFrance,"5,999",6.7,41%,24 : 76
95,Nanjing UniversityChina,"36,426",16.5,8%,54 : 46
98,Vanderbilt UniversityUnited States,"12,696",3.8,15%,55 : 45
99,"City University of Hong KongHong Kong
Explore","9,099",12.1,62%,54 : 46
99,RWTH Aachen UniversityGermany,"39,738",50,28%,33 : 67
